"都道府県コード","都道府県・市区町村コード","都道府県名","都道府県・市区町村名","（人）","（km2）","（人/km2）"
"02","02450","青森県","新郷村",2509,150.77,16.6
"03","03000","岩手県","岩手県",1279594,15275.01,83.8
"03","03201","岩手県","盛岡市",297631,886.47,335.7
"03","03202","岩手県","宮古市",56676,1259.15,45
"03","03203","岩手県","大船渡市",38058,322.5,118
"03","03205","岩手県","花巻市",97702,908.39,107.6
"03","03206","岩手県","北上市",93511,437.55,213.7
"03","03207","岩手県","久慈市",35642,623.5,57.2
"03","03208","岩手県","遠野市",28062,825.97,34
"03","03209","岩手県","一関市",121583,1256.42,96.8
"03","03210","岩手県","陸前高田市",19758,231.94,85.2
"03","03211","岩手県","釜石市",36802,440.34,83.6
"03","03213","岩手県","二戸市",27611,420.42,65.7
"03","03214","岩手県","八幡平市",26355,862.3,30.6
"03","03215","岩手県","奥州市",119422,993.3,120.2
"03","03216","岩手県","滝沢市",55463,182.46,304
